date	NYC	SF
20080829	619000	605000
20090424	655000	605000
20130730	599000	605000
20101221	629000	608200
20060203	599000	608500
20041022	545000	609000
20071228	609000	609000
20000216	550000	610000
20040618	549000	610000
20060608	595000	610000
20060925	599000	610000
20111109	589000	610000
20160829	599900	610000
20050819	529000	611000
20130419	599000	612500
20031104	629000	615000
20080226	649000	615000
20080709	650000	615000
20090303	629000	615000
20110517	615000	615000
20121211	615000	615000
20170331	615000	618000
20040202	619000	619000
20040319	619000	619000
20050518	499000	620000
20050928	599000	620000
20060608	619000	620000
20130718	579000	620000
20121002	599000	620500
20070209	623000	623000
20040517	595000	625000
20040521	569000	625000
20050211	589000	625000
20050502	619000	625000
20050510	529000	625000
20060315	619000	625000
20060629	625000	625000
20060713	625000	625000
20060908	619000	625000
20070315	629000	625000
20090804	599000	625000
20120319	625000	625000
20131107	599000	626000
20050325	549000	628000
20080625	679000	628000
20140425	599000	628000
20000505	629000	629000
20060727	599000	629000
20070425	629000	629000
20040701	615000	630000
20060331	619000	630000
20070816	639000	630000
20070823	599900	630000
20080207	629000	630000
20080328	649000	630000
20080523	649000	630000
20150710	640000	630000
20010413	659000	635000
20050228	635000	635000
20050421	575000	635000
20051115	639000	635000
20060309	635000	635000
20060627	575000	635000
20070413	635000	635000
20090629	629000	635000
20120717	649000	635000
20130503	599000	635000
20130930	585000	635000
20120424	599000	636000
20110708	689000	637500
20060301	629000	638000
20040525	639000	639000
20040603	639000	639000
20050119	639000	639000
20060621	639000	639000
20070112	639000	639000
20070209	639000	639000
20070307	629000	639000
20070627	639000	639000
20071206	669000	639000
20071228	639000	639000
20100415	639000	639000
20110415	639000	639000
20001017	500000	640000
20050222	599000	640000
20050609	619000	640000
20050930	599000	640000
20060712	619000	640000
20060728	625000	640000
20071016	640000	640000
20120428	650000	640000
20121130	579000	640000
20050506	569000	641000
20060331	649000	641250
20051118	599000	642000
20070725	648000	642000
20070503	650000	642500
20000602	645000	645000
20050513	599000	645000
20060831	644000	645000
20050818	595000	645500
20070725	649000	646000
20070726	649000	646000
20000505	649000	649000
20040326	649000	649000
20050302	579000	649000
20050823	649000	649000
20060111	649000	649000
20060609	649000	649000
20130731	649000	649000
20140909	649000	649000
20050329	579000	650000
20050426	599000	650000
20050429	559000	650000
20050510	559000	650000
20060222	650000	650000
20060421	665000	650000
20070803	629000	650000
20070809	635000	650000
20070815	626000	650000
20090612	699000	650000
20120612	589000	650000
20121231	650000	650000
20130806	599000	650000
20131016	595000	650000
20151212	599000	650000
20050610	579000	651000
20060308	649000	651000
20061017	619000	651000
20070629	629000	652000
20060215	579000	653000
20060223	649000	655000
20060630	659000	655000
20070726	668000	655000
20150814	655000	655000
20061215	657000	657000
20040304	659000	659000
20070913	649000	659000
20040726	649000	660000
20050420	589000	660000
20050713	549000	660000
20050810	579000	660000
20060224	659000	660000
